time,code,release
0,65361,1
56,65362,1
306,120,1
463,120,0
487,65363,1
508,65361,0
522,120,1
683,120,0
1301,65362,0
2309,65362,1
2465,65362,0
3935,65363,0
6935,65363,1
7532,65362,1
7602,120,1
7714,65362,0
7739,120,0
7793,65362,1
7824,65362,0
8245,65362,1
8588,65362,0
8741,120,1
8771,65362,1
8847,120,0
8863,65362,0
8967,120,1
8982,65362,1
9113,120,0
9154,65362,0
9192,120,1
9248,120,0
9273,65362,1
9480,65362,0
10352,65363,0
13352,65363,1
13418,65362,1
13598,120,1
13815,120,0
13831,65362,0
13894,120,1
13945,65362,1
14061,120,0
14161,120,1
14237,65362,0
14298,120,0
14392,120,1
14432,65362,1
14689,65362,0
14729,120,0
15246,65363,0
15266,65361,1
15685,65362,1
15713,120,1
15734,65361,0
15748,65363,1
16000,120,0
16301,65362,0
16390,120,1
16542,120,0
16908,120,1
16923,65362,1
17192,120,0
17436,65362,0
18355,65363,0
21355,65362,1
21370,65361,1
21606,120,1
21703,65361,0
21824,120,0
21938,120,1
22105,120,0
22240,120,1
22286,65363,1
22357,65362,0
22377,120,0
23260,120,1
23362,120,0
23592,65363,0
23607,65361,1
24014,120,1
24035,65361,0
24050,65363,1
24216,120,0
25064,120,1
25111,120,0
25950,65363,0
28950,65361,1
29010,65362,1
29262,65362,0
29397,120,1
29472,65362,1
29568,65363,1
29588,65361,0
29605,120,0
29710,65362,0
30050,120,1
30186,120,0
30572,65362,1
30711,65362,0
31562,120,1
31764,120,0
32577,65363,0
32988,65471,1
35988,65363,1
36395,120,1
36556,120,0
37038,120,1
37190,120,0
37762,65363,0
37787,65362,1
37873,65361,1
38054,120,1
38135,65361,0
38190,120,0
38235,120,1
38406,120,0
38423,65363,1
38613,65362,0
38979,65361,1
39000,65363,0
39346,65362,1
39720,65362,0
40296,120,1
40407,120,0
41397,65363,1
41419,65361,0
41516,65363,0
44516,65363,1
44677,65362,1
44935,120,1
44985,65362,0
45035,65362,1
45100,65363,0
45124,65361,1
45145,120,0
45345,120,1
45502,120,0
45543,65362,0
45678,65361,0
45853,65362,1
45893,120,1
45909,65363,1
46181,120,0
46322,65362,0
46421,120,1
46567,120,0
46617,65363,0
46672,120,1
46813,120,0
46838,65363,1
47356,65363,0
47441,65361,1
47914,120,1
47979,65363,1
48000,65361,0
48101,120,0
48554,120,1
48683,120,0
48908,120,1
49090,120,0
49612,120,1
49709,120,0
50557,65361,1
50579,65363,0
50839,120,1
50971,120,0
51513,65363,1
51544,65363,0
51563,65363,1
51660,65361,0
52294,65363,0
55294,65361,1
55808,65362,1
56005,65362,0
56054,120,1
56074,65362,1
56181,65361,0
56195,65363,1
56236,120,0
56256,65362,0
56351,120,1
56447,65363,0
56466,120,0
56717,120,1
56854,120,0
57115,65363,1
57974,65362,1
58212,65362,0
58754,65362,1
59016,65362,0
59030,120,1
59116,65362,1
59157,120,0
59221,120,1
59242,65362,0
59327,65362,1
59348,120,0
59407,120,1
59554,120,0
59574,65362,0
60368,65363,0
63368,65363,1
63513,120,1
63660,120,0
63926,65362,1
64233,65362,0
64730,65362,1
64832,65363,0
64916,65362,0
65082,65363,1
65208,65363,0
65458,65361,1
66068,65361,0
66082,65363,1
66609,120,1
66766,120,0
67032,120,1
67163,120,0
68047,65362,1
68174,65362,0
68611,65363,0
68625,65361,1
68743,65361,0
71743,65361,1
72232,65362,1
72568,120,1
72674,65363,1
72695,65361,0
72710,120,0
72749,120,1
72851,65362,0
72870,120,0
72891,65363,0
73031,120,1
73091,65361,1
73157,120,0
73187,65361,0
73282,65363,1
73378,65363,0
73408,65363,1
76574,65362,1
76654,120,1
76746,65363,0
76791,120,0
76811,65362,0
76831,65362,1
76846,120,1
76964,120,0
76992,120,1
77012,65362,0
77027,65361,1
77123,120,0
77198,65362,1
77305,65362,0
78043,65363,1
78064,65361,0
78310,65363,0
81310,65362,1
81385,65363,1
81572,65362,0
81616,120,1
81738,120,0
81757,65362,1
81822,120,1
81904,65362,0
81949,120,0
82290,65363,0
82406,65363,1
82662,120,1
82829,120,0
82918,120,1
83075,120,0
83270,120,1
83422,120,0
84141,65363,0
84156,65361,1
84613,120,1
84785,120,0
85061,120,1
85217,120,0
85866,65363,1
85892,65361,0
86134,65363,0
86210,120,1
86310,120,0
89310,120,1
89476,120,0
89542,65362,1
89556,65363,1
89668,65362,0
89943,65363,0
90129,65361,1
90422,120,1
90467,65361,0
90481,65363,1
90552,120,0
90636,120,1
90753,120,0
90824,120,1
90938,65362,1
90959,120,0
91100,65363,0
91115,65362,0
91129,65361,1
91260,120,1
91311,65361,0
91327,65363,1
91396,120,0
91858,65362,1
92175,65362,0
92239,120,1
92381,120,0
92762,120,1
92894,120,0
92958,120,1
93079,120,0
93094,65361,1
93115,65363,0
93255,65361,0
93380,120,1
93501,120,0
93582,65363,1
