time,code,release
0,65362,1
86,65363,1
196,120,1
293,65362,0
348,120,0
418,65362,1
432,120,1
559,120,0
653,120,1
675,65362,0
780,120,0
880,65362,1
900,120,1
1092,120,0
1143,65362,0
1217,120,1
1269,65362,1
1404,120,0
1515,65362,0
1619,65363,0
1749,120,1
1916,120,0
2036,120,1
2187,120,0
2293,65361,1
2570,65361,0
2881,65363,1
3263,120,1
3505,120,0
3530,65362,1
3851,120,1
3972,65362,0
3988,120,0
4072,120,1
4098,65362,1
4209,120,0
4298,120,1
4365,65362,0
4415,120,0
4470,65362,1
4500,120,1
4621,120,0
4687,120,1
4868,120,0
4942,120,1
4968,120,0
5019,65362,0
5334,120,1
5476,120,0
7542,65361,1
7583,65363,0
10289,65363,1
10310,65361,0
10856,65362,1
11107,120,1
11245,65362,0
11264,120,0
11575,120,1
11590,65362,1
11762,120,0
11823,65362,0
11932,120,1
12069,120,0
12238,120,1
12370,120,0
13652,65363,0
